Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Juan Morillo","ARI",1.48042,1.19633,0,4.16027,39.713,0,0,0.6584,,39.0047,168.593,36.047,19.3,18.03,3.82334,17.5588,1.16682,1.16836,36.1973,8.35222,4.05154,2.06149,0.882203,0.214703,0.104149,0.11055357754230499,0.240529,1.37434,0.293356,0.710955,,,3.99376,0.262443,0.141048,999,,,,,,,164.80000000000004,4.225641025641027,162,4.153846153846154,,,,,,,,,,,,,,,,,,,"Juan Morillo","21924",666661
"Tim Herrin","CLE",1.99618,1.813,0,4.1308,53.285,0,0,10.103,,52.2465,225.694,46.7657,25.73,23.98,5.39442,22.2067,1.16615,4.46635,50.5104,8.70094,3.82533,2.27456,0.929245,0.223801,0.0983931,0.12540750950574875,0.234979,1.32013,0.289075,0.704042,,,4.07541,0.26149,0.119773,999,,,,,,,265.1,5.098076923076923,259,4.980769230769231,,,,,,,,,,,,,,,,,,,"Tim Herrin","25139",682120
"Yuki Matsui","SDP",2.25526,1.72266,0,4.12046,51.576,0,0,9.5594,,53.8848,228.855,46.4048,26.43,24.67,7.41368,22.0618,1.55476,1.37667,52.2509,8.7271,3.68483,2.36838,1.23826,0.228315,0.0964011,0.13191348314285278,0.225906,1.27061,0.267517,0.723678,,,4.2893,0.259396,0.226871,999,,,,,,,268.9,4.979629629629629,254,4.703703703703703,,,,,,,,,,,,,,,,,,,"Yuki Matsui","33826",673513
"Connor Brogdon","CLE",1.69467,1.61766,0,4.36006,45.416,0,0,7.0755,,48.4672,206.854,44.1226,25.16,23.48,6.81736,18.5581,1.2886,1.27995,48.1163,8.93484,3.44611,2.59274,1.26593,0.23261,0.0897161,0.14289406687021255,0.23593,1.29326,0.28244,0.706121,,,4.20611,0.258335,0.00839262,999,,,,,,,218.70000000000002,4.55625,213,4.4375,,,,,,,,,,,,,,,,,,,"Connor Brogdon","21205",641401
"Justin Sterner","ATH",2.85194,2.2815,0,4.32053,60.558,0.15,8,10.2882,,65.7002,278.707,55.5796,33.83,31.54,10.4454,25.4167,2.03819,3.44345,67.0135,9.17991,3.48172,2.6366,1.43088,0.240444,0.0911949,0.14924943447113037,0.222454,1.23282,0.261817,0.710628,,,4.47979,0.258312,0.0498064,483.7200012207031,,,,,,,349.80000000000007,5.300000000000001,330,5,,,,,,,,,,,,,,,,,,,"Justin Sterner","27694",686993
"Yennier Cano","BAL",2.31757,1.73027,0,4.21958,55.805,0,1,12.5079,,55.6691,238.341,54.0674,27.98,26.1,5.85544,20.65,1.0247,2.21413,48.4249,7.82884,3.33848,2.34503,0.946647,0.203175,0.0866408,0.11653436720371246,0.25092,1.34217,0.299088,0.702609,,,3.99492,0.257151,0.128986,999,,,,,,,284.20000000000005,5.075000000000001,286,5.107142857142857,,,,,,,,,,,,,,,,,,,"Yennier Cano","25911",666974
"Carson Whisenhunt","SFG",1.18961,1.76879,0.254828,4.54996,11.574,3.693,0,0.6709,,27.3365,118.258,27.4271,14.79,13.82,3.63626,9.74747,0.441109,1.01051,23.3551,7.68919,3.20916,2.39601,1.19717,0.197492,0.0824255,0.11506695300340652,0.255136,1.35989,0.295507,0.697691,,,4.33628,0.256078,0.102946,999,,,,,,,97.40000000000002,3.607407407407408,100,3.7037037037037037,,,,,,,,,,,,,,,,,,,"Carson Whisenhunt","31676",687931
"Peyton Pallette","CLE",1.42838,1.30186,0,4.13065,37.638,0,0,0,,40.1995,171.855,33.8373,19.73,18.45,5.34442,17.3049,0.958727,2.34964,44.465,9.95497,3.87428,2.56951,1.19653,0.258735,0.100695,0.15804067254066467,0.22232,1.27221,0.278275,0.719473,,,4.11801,0.255722,0.0921329,999,,,,,,,177.1,4.4275,166,4.15,,,,,,,,,,,,,,,,,,,"Peyton Pallette","sa3020742",688883
"Liam Hendriks","MIN",1.13879,1.18538,0,3.92872,20.215,0,1,0.6383,,20.8694,86.4906,18.4341,9.78,9.11,2.89337,5.50795,0.420404,0.803064,23.0753,9.95132,2.37532,4.18946,1.24778,0.266796,0.0636826,0.20311326533555984,0.229911,1.14723,0.286673,0.711971,,,3.63329,0.254812,0.0996385,999,,,,,,,105.7,5.033333333333333,100,4.761904761904762,,,,,,,,,,,,,,,,,,,"Liam Hendriks","3548",521230
"Pierce Johnson","CIN",2.33431,1.89747,0,4.3902,58.088,0,1,11.9741,,59.3071,253.667,54.3222,30.91,28.93,8.64092,23.5712,1.17203,1.14901,61.0755,9.26836,3.57698,2.59111,1.31128,0.240771,0.0929218,0.14784904569387436,0.23727,1.31339,0.286889,0.714075,,,4.22002,0.254058,-0.0173095,999,,,,,,,285.5,4.838983050847458,278,4.711864406779661,,,,,,,,,,,,,,,,,,,"Pierce Johnson","13435",572955
"Tomoyuki Sugano","COL",5.45931,9.53292,9.75068,5.77972,21.82,21.82,0,0,,122.378,543.763,146.41,83.92,78.59,22.3732,35.038,0.541482,5.79585,71.576,5.26389,2.57679,2.04281,1.64539,0.131631,0.0644362,0.06719475239515305,0.291114,1.48268,0.303282,0.649642,,,5.34306,0.249371,-0.680575,999,,,,,,,273.60000000000014,2.242622950819673,345,2.8278688524590163,,,,,,,,,,,,,,,,,,,"Tomoyuki Sugano","35321",608372
"Tanner Houck","BOS",1.04944,1.29019,0.437673,4.18301,5.854,3.141,0,0,,21.4941,92.1903,20.9407,10.71,9.99,2.18115,7.38102,0.272379,1.51925,16.5555,6.9321,3.09058,2.24298,0.91329,0.179579,0.0800629,0.09951656311750412,0.251419,1.31765,0.290605,0.696994,,,4.1561,0.245838,0.172492,999,,,,,,,83.20000000000002,3.961904761904763,86,4.095238095238095,,,,,,,,,,,,,,,,,,,"Tanner Houck","19879",656557
"Joe Jiménez","ATL",1.2733,0.863401,0,4.36028,30.782,0,0,0.6514,,32.014,136.54,28.4435,16.57,15.51,4.44548,11.8639,0.539473,1.78912,36.7865,10.3417,3.33526,3.10071,1.24975,0.269419,0.0868892,0.18252935260534286,0.23146,1.25906,0.293894,0.696444,,,3.92158,0.244696,-0.0283811,999,,,,,,,150.8,4.7125,144,4.5,,,,,,,,,,,,,,,,,,,"Joe Jimenez","15761",641729
"Josh Sborz","TEX",1.88997,1.4579,0,4.44051,39.797,0,0,4.2173,,41.4885,178.668,36.9965,21.88,20.47,5.21294,17.9187,0.816544,1.86569,44.6523,9.68632,3.88706,2.49194,1.13083,0.249918,0.100291,0.14962763339281082,0.232853,1.32362,0.291544,0.693768,,,4.04664,0.244235,-0.0586332,999,,,,,,,191.70000000000005,4.675609756097562,186,4.536585365853658,,,,,,,,,,,,,,,,,,,"Josh Sborz","18323",622250
