Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"T.J. Nichols","TBR",0.0526,0.0685,0.0716,4.6809,0.182,0.174,0,0,,1,4.327,1.065,0.5589,0.5201,0.157444,0.3091,0.0041,0.0427,0.7802,7.0218,2.7819,2.5241,1.417,0.18031,0.0714352,0.10887450724840164,0.267911,1.3741,0.298778,0.70661,0.436613,,4.67691,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"T.J. Nichols","sa3023039",694375
"Andrew Heaney",,0.0541,0.066,0.0693,4.61844,0.215,0.167,0,0,,1,4.305,1.015,0.5472,0.51316,0.162778,0.3202,0.0034,0.0568,0.8525,7.6725,2.8818,2.6624,1.465,0.198026,0.0743786,0.12364693731069565,0.258401,1.3352,0.292586,0.711634,0.371981,,4.67725,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Andrew Heaney","15423",571760
"Mason Adams","CHW",0.0512,0.07,0.0734,4.57722,0.1837,0.1737,0,0,,1,4.351,1.0903,0.5505,0.50858,0.138667,0.313,0.0042,0.0533,0.6775,6.0975,2.817,2.16454,1.248,0.155711,0.0719375,0.08377385139465332,0.273622,1.4033,0.300339,0.705279,0.479688,,4.6817,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Mason Adams","sa3020388",690279
"Brendan Girton","NYM",0.0568,0.0634,0.0722,4.5117,0.2076,0.1686,0,0,,1,4.379,0.9919,0.5401,0.5013,0.138333,0.4271,0.0049,0.0484,0.8376,7.5384,3.8439,1.96113,1.245,0.191277,0.0975337,0.09374285489320755,0.254105,1.419,0.291562,0.717274,0.428399,,4.68477,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Brendan Girton","sa3025584",694858
"Colten Schmidt",,0.0522,0.0627,0.053,4.54365,0.4005,0.1275,0,0,,1,4.362,1.0548,0.5438,0.50485,0.140556,0.3559,0.0101,0.044,0.7376,6.6384,3.2031,2.07249,1.265,0.169097,0.081591,0.08750574290752411,0.266222,1.4107,0.296453,0.714131,0.428002,,4.68686,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Colten Schmidt","sa3006765",679793
"John Parke",,0.0533,0.065,0.0639,4.56345,0.2826,0.1526,0,0,,1,4.381,1.0678,0.5479,0.50705,0.133667,0.3702,0.0069,0.045,0.7156,6.4404,3.3318,1.93301,1.203,0.163342,0.0845013,0.07884044200181961,0.269252,1.438,0.299735,0.711587,0.453001,,4.6872,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"John Parke","sa3003988",641949
"Ricardo Sánchez",,0.0539,0.0674,0.0734,4.62357,0.1754,0.1754,0,0,,1,4.394,1.0925,0.5556,0.51373,0.131333,0.3544,0.004,0.0528,0.6872,6.1848,3.1896,1.93905,1.182,0.156395,0.0806554,0.07573963701725006,0.274029,1.4469,0.303373,0.705682,0.467999,,4.68967,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Ricardo Sanchez","17581",645307
"Didier Fuentes","ATL",0.0563,0.0648,0.071,4.74759,0.1754,0.1754,0,0,,1,4.331,1.0269,0.5625,0.52751,0.160667,0.3477,0.0039,0.0468,0.8588,7.7292,3.1293,2.46995,1.446,0.198291,0.0802817,0.11800970137119293,0.260866,1.3746,0.296957,0.706379,0.382028,,4.6897,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Didier Fuentes","30661",800311
"Alex Wood",,0.0543,0.0669,0.0737,4.60836,0.1754,0.1754,0,0,,1,4.396,1.0526,0.5514,0.51204,0.14,0.3714,0.0059,0.0589,0.7769,6.9921,3.3426,2.09181,1.26,0.176729,0.0844859,0.09224294871091843,0.265426,1.424,0.299331,0.710586,0.432992,,4.69224,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Alex Wood","13781",622072
"Alejandro Rosario","WSN",0.0506,0.0705,0.0726,4.60728,0.1862,0.1732,0,0,,1,4.355,1.0432,0.5518,0.51192,0.139667,0.3737,0.0042,0.0404,0.7504,6.7536,3.3633,2.00803,1.257,0.172308,0.0858094,0.08649829030036926,0.264711,1.4169,0.29616,0.708305,0.443919,,4.6923,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Alejandro Rosario","sa3023538",691730
