Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",13.9861,8.9535,22.6444,2.7948,32,32,0,0,,199.765,796.51,159.68,68.1296,62.0336,20.2206,43.5197,0.364,7.1128,242.588,10.9293,1.96069,5.57422,0.911,0.304564,0.054638,0.24992616847157478,0.214083,1.01719,0.288695,0.772311,0.42434,,2.78267,5.89032,5.79623,6.550000190734863,,,,,,,1151,5.755,1073,5.365,4.09,3.67,3.39,3.17,2.98,2.8,2.62,2.42,2.17,3.55,3.37,3.25,3.14,3.05,2.96,2.87,2.76,2.62,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",13.4833,9.1366,21.2594,2.92113,32,32,0,0,,193.982,785.668,158.118,69.2342,62.9606,17.5661,51.6545,0.5028,7.1724,236.972,10.9946,2.39657,4.58763,0.815,0.301618,0.065746,0.23587214201688766,0.217541,1.08141,0.297588,0.758928,0.443775,,2.7789,5.683,5.74043,10.029999732971191,,,,,,,1100.4,5.6721649484536085,1033,5.324742268041237,4.29,3.84,3.55,3.32,3.11,2.92,2.73,2.52,2.26,3.75,3.55,3.41,3.29,3.19,3.08,2.98,2.86,2.7,"Paul Skenes","33677",694973
"Garrett Crochet","BOS",13.5877,8.9596,20.6821,3.03309,32,32,0,0,,192.855,773.898,157.874,71.13,64.9942,19.6712,49.8754,0.493,6.0093,237.989,11.1063,2.32754,4.77167,0.918,0.30752,0.064447,0.24307285994291306,0.219876,1.07723,0.300211,0.758114,0.455967,,2.8624,5.5457,5.39046,11.239999771118164,,,,,,,1079.4,5.592746113989638,1013,5.248704663212435,4.41,3.96,3.66,3.43,3.22,3.03,2.83,2.62,2.36,3.85,3.65,3.51,3.4,3.3,3.19,3.09,2.97,2.82,"Garrett Crochet","27463",676979
"Cristopher Sánchez","PHI",13.5081,9.3538,21.1586,3.13788,32,32,0,0,,198.055,812.033,182.498,76.9593,69.0525,17.4288,50.5751,0.4953,6.6741,191.352,8.69538,2.29823,3.78351,0.792,0.235645,0.0622821,0.17336301133036613,0.241789,1.17681,0.302323,0.748128,0.545382,,3.214,4.7252,5.14912,27.280000686645508,,,,,,,990.9000000000001,5.004545454545455,977,4.934343434343434,4.58,4.14,3.85,3.61,3.4,3.21,3.01,2.8,2.53,4.01,3.82,3.68,3.57,3.48,3.38,3.28,3.17,3.02,"Cristopher Sanchez","20778",650911
"Cole Ragans","KCR",11.793,8.5611,17.4431,3.28196,29.16,29.16,0,0,,172.018,711.406,140.364,68.1721,62.7285,18.0619,62.2609,0.5983,5.6365,210.373,11.0067,3.25749,3.37889,0.945,0.295714,0.0875181,0.2081960141658783,0.218123,1.17793,0.294652,0.758172,0.399002,,3.23833,4.20537,4.23006,45.099998474121094,,,,,,,903.3999999999999,5.252325581395348,842,4.895348837209302,4.76,4.27,3.94,3.68,3.46,3.25,3.03,2.8,2.51,4.15,3.93,3.78,3.65,3.54,3.43,3.32,3.19,3.02,"Cole Ragans","21846",666142
"Chris Sale","ATL",11.9651,7.5786,17.7248,3.19508,27.54,27.54,0,0,,168.535,685.659,139.804,65.0393,59.8314,18.1456,44.286,0.5232,8.6098,205.7,10.9847,2.36493,4.64482,0.969,0.300004,0.064589,0.23541495949029922,0.220943,1.0923,0.297515,0.750228,0.416542,,3.03533,4.15054,4.32151,38.720001220703125,,,,,,,918.2,5.433136094674556,864,5.112426035502959,4.65,4.16,3.84,3.59,3.36,3.16,2.95,2.72,2.43,4.03,3.82,3.68,3.56,3.45,3.34,3.23,3.11,2.95,"Chris Sale","10603",519242
"Logan Webb","SFG",12.6009,10.3871,20.7276,3.32205,32,32,0,0,,199.392,831.145,194.027,81.8846,73.5988,16.6603,47.1658,0.7555,6.0516,187.213,8.45028,2.12894,3.96925,0.752,0.225247,0.056748,0.16849886998534203,0.249416,1.20965,0.308973,0.731213,0.547548,,3.14421,4.09762,3.93098,63,,,,,,,974.1000000000003,4.894974874371861,989,4.969849246231155,4.8,4.35,4.05,3.81,3.61,3.41,3.21,2.99,2.71,4.19,4.01,3.88,3.77,3.68,3.58,3.48,3.37,3.22,"Logan Webb","17995",657277
"Jacob deGrom","TEX",11.4001,9.14,17.1171,3.52445,29.16,29.16,0,0,,174.797,715.795,152.627,73.7193,68.4515,23.6559,39.806,0.4402,5.342,202.573,10.4302,2.04954,5.08902,1.218,0.283005,0.0556109,0.22739386558532715,0.227581,1.10089,0.290202,0.745151,0.378878,,3.35152,4.03496,3.37993,46.279998779296875,,,,,,,873,4.988571428571428,834,4.765714285714286,5.04,4.52,4.19,3.92,3.68,3.46,3.24,3,2.7,4.43,4.19,4.03,3.89,3.77,3.65,3.52,3.38,3.2,"Jacob deGrom","10954",594798
"Dylan Cease","TOR",12.4069,9.7232,17.4667,3.57712,32,32,0,0,,184.857,777.037,156.597,79.4643,73.4729,22.2034,67.5214,1.178,5.8837,216.823,10.5563,3.28736,3.21117,1.081,0.279038,0.086896,0.1921420767903328,0.222555,1.21239,0.289263,0.749372,0.381771,,3.54201,3.85879,3.37588,79.97000122070312,,,,,,,902.2,4.876756756756757,851,4.6,5.04,4.56,4.25,3.99,3.77,3.56,3.35,3.12,2.82,4.4,4.2,4.06,3.95,3.85,3.75,3.64,3.53,3.37,"Dylan Cease","18525",656302
"Sonny Gray","BOS",11.5286,9.9902,16.9364,3.70738,30.78,30.78,0,0,,181.357,757.548,171.641,81.198,74.7066,21.2994,47.8755,0.5015,5.6627,189.262,9.39229,2.37586,3.95321,1.057,0.249835,0.063198,0.18663715571165085,0.243805,1.21041,0.304676,0.729154,0.451378,,3.46036,3.84736,3.47429,132.24000549316406,,,,,,,849.9000000000001,4.695580110497238,848,4.685082872928176,5.23,4.74,4.42,4.16,3.93,3.71,3.5,3.26,2.95,4.58,4.37,4.23,4.11,4.01,3.9,3.8,3.67,3.51,"Sonny Gray","12768",543243
"Framber Valdez","DET",11.8605,10.1805,19.3258,3.43524,30.78,30.78,0,0,,190.384,795.919,180.119,80.5996,72.6682,15.5269,62.0339,0.4226,7.8533,175.939,8.31717,2.93252,2.83618,0.734,0.221052,0.07794,0.14311205595731735,0.248087,1.27192,0.307898,0.732949,0.555556,,3.44835,3.71899,3.61518,94.5199966430664,,,,,,,883.2,4.648421052631579,884,4.652631578947369,4.96,4.49,4.18,3.94,3.72,3.51,3.31,3.08,2.79,4.33,4.13,4,3.89,3.79,3.7,3.59,3.48,3.33,"Framber Valdez","17295",664285
"Max Fried","NYY",12.7845,9.1525,19.5184,3.33269,30.78,30.78,0,0,,189.434,790.955,177.469,77.6245,70.1471,18.8592,54.2951,0.6312,7.431,179.446,8.5255,2.57956,3.30502,0.896,0.226873,0.068645,0.1582280769944191,0.243365,1.22345,0.298742,0.750577,0.505701,,3.51234,3.65819,3.6989,53.54999923706055,,,,,,,879.7,4.654497354497355,873,4.619047619047619,4.82,4.36,4.05,3.81,3.59,3.39,3.18,2.96,2.67,4.21,4.01,3.88,3.77,3.67,3.57,3.47,3.35,3.19,"Max Fried","13743",608331
"Hunter Brown","HOU",11.9037,9.7644,17.6596,3.62923,30.78,30.78,0,0,,184.176,769.968,164.952,81.0548,74.2688,20.8529,60.9692,0.5467,7.1738,199.858,9.76628,2.97933,3.27801,1.019,0.259566,0.0791841,0.18038202822208405,0.235033,1.22666,0.299511,0.736382,0.473373,,3.5467,3.58559,3.28731,37.45000076293945,,,,,,,870.3000000000002,4.729891304347827,843,4.581521739130435,5.15,4.67,4.35,4.09,3.86,3.65,3.43,3.19,2.89,4.52,4.31,4.17,4.05,3.94,3.83,3.72,3.6,3.43,"Hunter Brown","25880",686613
"Hunter Greene","CIN",11.1243,10.562,16.6182,3.91947,30.78,30.78,0,0,,183.816,768.784,155.819,85.3305,80.0513,28.3077,61.5304,0.4105,10.0695,220.123,10.7776,3.01265,3.57746,1.386,0.286326,0.080036,0.20628992468118668,0.223498,1.18243,0.284146,0.742854,0.336385,,3.91066,3.55953,3.51328,42.59000015258789,,,,,,,835.6000000000003,4.541304347826088,780,4.239130434782608,5.42,4.91,4.58,4.31,4.08,3.85,3.63,3.38,3.07,4.78,4.56,4.4,4.27,4.15,4.04,3.92,3.78,3.6,"Hunter Greene","22182",668881
"Jesús Luzardo","PHI",11.8852,9.5926,17.3808,3.55778,30.78,30.78,0,0,,180.975,751.557,158.424,77.5071,71.541,23.1447,57.4227,0.7162,5.5938,197.747,9.83407,2.85567,3.4437,1.151,0.263116,0.076405,0.18671105057001114,0.230087,1.19269,0.289276,0.754124,0.404283,,3.65696,3.5409,3.86515,75.62000274658203,,,,,,,852.7,4.711049723756906,813,4.49171270718232,5.05,4.56,4.24,3.98,3.75,3.54,3.32,3.09,2.79,4.42,4.21,4.06,3.94,3.83,3.72,3.61,3.49,3.32,"Jesus Luzardo","19959",666200
"Zack Wheeler","PHI",10.0538,7.004,15.0751,3.18988,24.3,24.3,0,0,,145.15,589.085,121.052,56.0229,51.4459,16.5955,36.6641,0.4601,6.434,166.616,10.331,2.27334,4.5444,1.029,0.282839,0.0622391,0.22059990465641022,0.221712,1.08657,0.287936,0.756182,0.415291,,3.21646,3.49415,3.81494,121.72000122070312,,,,,,,754.3000000000001,5.202068965517242,709,4.889655172413793,4.7,4.19,3.85,3.59,3.36,3.14,2.92,2.69,2.39,3.98,3.79,3.66,3.55,3.45,3.36,3.26,3.14,2.99,"Zack Wheeler","10310",554430
"Yoshinobu Yamamoto","LAD",11.0196,7.1365,15.2825,3.44693,25.92,25.92,0,0,,154.428,639.72,138.95,64.8992,59.1449,16.7469,47.1346,0.4075,5.206,162.55,9.4733,2.74698,3.44863,0.976,0.254095,0.0736801,0.18041502684354782,0.236559,1.20499,0.299457,0.745119,0.492277,,3.45653,3.42853,3.29851,27.030000686645508,,,,,,,739.1000000000003,4.799350649350651,719,4.6688311688311686,5.04,4.52,4.18,3.91,3.67,3.45,3.22,2.98,2.67,4.32,4.12,3.98,3.87,3.76,3.66,3.55,3.43,3.27,"Yoshinobu Yamamoto","33825",808967
"Nathan Eovaldi","TEX",11.064,9.4784,16.6819,3.64747,29.16,29.16,0,0,,174.547,724.26,164.598,77.0628,70.7393,20.4995,44.5406,0.6917,7.084,171.298,8.83251,2.29661,3.84589,1.057,0.236515,0.0614981,0.17501698061823845,0.244706,1.19818,0.299682,0.731968,0.460343,,3.58643,3.35527,3.04799,150.72000122070312,,,,,,,806,4.605714285714286,801,4.577142857142857,5.2,4.7,4.37,4.1,3.87,3.65,3.43,3.18,2.88,4.55,4.33,4.18,4.06,3.95,3.84,3.73,3.6,3.43,"Nathan Eovaldi","9132",543135
"Joe Ryan","MIN",10.6674,9.7909,15.8734,3.81103,29.16,29.16,0,0,,172.8,713.46,154.853,78.087,73.1718,24.864,41.9115,0.3439,8.1834,189.145,9.85132,2.18289,4.51297,1.295,0.26511,0.058744,0.206366129219532,0.233436,1.13868,0.289279,0.732782,0.336616,,3.68621,3.32362,2.96153,72.06999969482422,,,,,,,797.7,4.6109826589595375,768,4.4393063583815024,5.31,4.8,4.47,4.2,3.96,3.74,3.52,3.27,2.96,4.64,4.42,4.28,4.15,4.04,3.94,3.82,3.7,3.53,"Joe Ryan","21390",657746
"Bryan Woo","SEA",12.364,10.3796,19.0395,3.60322,32,32,0,0,,195.095,801.211,176.403,84.4249,78.1077,26.2511,44.0081,0.6634,7.537,195.445,9.01616,2.03016,4.44111,1.211,0.243937,0.054927,0.18901002407073975,0.235309,1.12977,0.284395,0.740426,0.394658,,3.67338,3.26833,2.93394,38.7599983215332,,,,,,,899.6,4.613333333333333,871,4.466666666666667,5.07,4.59,4.27,4.02,3.8,3.59,3.38,3.14,2.85,4.47,4.25,4.11,3.98,3.87,3.76,3.65,3.52,3.35,"Bryan Woo","30279",693433
"Ranger Suárez","BOS",10.7669,9.6089,15.8464,3.75369,29.16,29.16,0,0,,171.504,723.339,170.342,78.3187,71.5302,18.389,49.31,0.8123,5.6674,152.784,8.01763,2.58764,3.09843,0.965,0.21122,0.06817,0.14305008202791214,0.254865,1.28074,0.305624,0.72887,0.490779,,3.70901,3.22758,3.19535,174.47999572753906,,,,,,,750.3999999999999,4.362790697674418,767,4.459302325581396,5.36,4.85,4.51,4.24,4.01,3.78,3.56,3.31,3,4.67,4.46,4.32,4.2,4.09,3.98,3.87,3.75,3.58,"Ranger Suarez","17277",624133
"Logan Gilbert","SEA",11.1914,8.8631,16.1433,3.40679,29.16,29.16,0,0,,166.486,678.151,144.511,68.244,63.0204,21.0328,38.6736,0.9284,5.8911,181.613,9.81773,2.09064,4.69605,1.137,0.267806,0.057028,0.2107781358063221,0.228084,1.1003,0.286532,0.747636,0.398645,,3.39879,3.15001,2.90108,32.900001525878906,,,,,,,822.1000000000001,4.952409638554218,786,4.734939759036145,4.89,4.39,4.07,3.81,3.58,3.37,3.16,2.92,2.63,4.21,4.02,3.88,3.77,3.67,3.57,3.47,3.35,3.19,"Logan Gilbert","22250",669302
"George Kirby","SEA",11.6567,9.6682,17.0582,3.52074,30.78,30.78,0,0,,178.218,732.805,165.865,75.8223,69.7178,22.2179,33.7178,0.4771,7.2511,173.715,8.77259,1.70275,5.15203,1.122,0.237055,0.046012,0.19104304909706116,0.239746,1.11988,0.289668,0.734581,0.422985,,3.49598,3.13722,2.75005,68.58999633789062,,,,,,,839.9999999999999,4.719101123595505,829,4.657303370786517,5.02,4.53,4.21,3.95,3.73,3.51,3.3,3.07,2.77,4.37,4.17,4.03,3.91,3.81,3.7,3.6,3.48,3.32,"George Kirby","25436",669923
"Brandon Woodruff","MIL",9.8936,9.4667,14.9726,3.84364,27.54,27.54,0,0,,163.691,678.37,146.993,74.9152,69.9076,23.7352,44.6768,0.3779,6.5062,171.97,9.45522,2.45641,3.84921,1.305,0.253505,0.065859,0.18764597922563553,0.234369,1.17093,0.285662,0.736899,0.364232,,3.85702,3.0383,2.78202,106.76000213623047,,,,,,,724.2,4.4158536585365855,696,4.2439024390243905,5.45,4.9,4.54,4.25,4,3.76,3.53,3.27,2.94,4.81,4.55,4.37,4.22,4.09,3.96,3.82,3.67,3.47,"Brandon Woodruff","16162",605540
"José Soriano","LAA",10.6196,10.7019,16.3939,3.67147,30.78,30.78,0,0,,177.273,759.198,169.329,80.0879,72.3168,14.8121,75.4354,0.6947,8.6321,164.464,8.34969,3.8298,2.18019,0.752,0.216628,0.099362,0.1172659769654274,0.250809,1.38072,0.311617,0.735073,0.572849,,3.78855,3.0256,3.12441,415.8599853515625,,,,,,,761.9,4.3045197740112995,766,4.327683615819209,5.31,4.8,4.47,4.2,3.96,3.74,3.51,3.26,2.95,4.67,4.45,4.29,4.16,4.04,3.92,3.8,3.67,3.49,"Jose Soriano","22100",667755
"Blake Snell","LAD",10.7595,7.2135,14.4929,3.53632,25.92,25.92,0,0,,151.14,635.843,123.289,64.5878,59.3866,17.549,66.2072,0.6021,4.1489,185.241,11.0306,3.94247,2.7979,1.045,0.291331,0.104125,0.1872059553861618,0.218024,1.25378,0.291539,0.757354,0.428643,,3.58984,3.00928,3.09166,98.20999908447266,,,,,,,736.2,4.875496688741722,681,4.509933774834437,5.14,4.6,4.25,3.97,3.73,3.5,3.27,3.02,2.7,4.43,4.21,4.06,3.93,3.82,3.71,3.59,3.46,3.29,"Blake Snell","13543",605483
"Aaron Nola","PHI",11.0602,10.4421,15.9378,3.96965,30.78,30.78,0,0,,180.677,757.874,174.168,86.0632,79.6917,26.3387,46.7017,0.5987,5.8614,174.836,8.70904,2.32633,3.74368,1.312,0.230693,0.061622,0.16907112300395966,0.246937,1.22245,0.293232,0.732662,0.422873,,3.96767,2.98829,3.01893,209.66000366210938,,,,,,,758.2000000000002,4.188950276243095,758,4.1878453038674035,5.53,5.03,4.69,4.42,4.19,3.96,3.74,3.49,3.17,4.86,4.65,4.5,4.38,4.26,4.16,4.04,3.91,3.74,"Aaron Nola","16149",605400
"Pablo López","MIN",9.9889,9.3078,14.9421,3.80091,27.54,27.54,0,0,,162.708,678.231,154.52,74.2605,68.7153,20.2842,42.047,0.7128,7.0828,162.21,8.97246,2.32578,3.85782,1.122,0.239166,0.0619951,0.1771710403263569,0.24562,1.2081,0.300568,0.727283,0.421869,,3.66778,2.95401,2.73551,146.3800048828125,,,,,,,734.2,4.504294478527608,732,4.49079754601227,5.36,4.85,4.51,4.24,4,3.78,3.55,3.3,2.99,4.69,4.47,4.32,4.2,4.08,3.97,3.86,3.73,3.56,"Pablo Lopez","17085",641154
"Michael King","SDP",10.4514,9.6426,14.8675,3.80592,29.16,29.16,0,0,,166.513,703.18,150.109,76.104,70.415,21.8502,57.7212,0.9029,6.9101,172.759,9.33761,3.11982,2.993,1.181,0.245683,0.082086,0.16359694302082062,0.235079,1.24813,0.288911,0.743209,0.402883,,3.93044,2.90211,2.65878,127.55000305175781,,,,,,,726.1999999999998,4.348502994011975,700,4.191616766467066,5.4,4.87,4.52,4.25,4,3.77,3.54,3.28,2.96,4.74,4.5,4.34,4.21,4.08,3.97,3.84,3.7,3.52,"Michael King","19853",650633
"Kevin Gausman","TOR",11.3598,10.4092,16.5353,4.02011,30.78,30.78,0,0,,185.401,784.269,177.165,89.0534,82.8148,25.3794,54.5757,0.7176,4.4813,181.212,8.79662,2.64929,3.32037,1.232,0.231058,0.069588,0.16147012263536453,0.244293,1.24994,0.292671,0.727218,0.380152,,3.91549,2.88867,2.3119,122.66000366210938,,,,,,,786.3,4.25027027027027,785,4.243243243243243,5.54,5.05,4.72,4.46,4.23,4.01,3.78,3.54,3.23,4.86,4.66,4.52,4.41,4.3,4.2,4.09,3.97,3.81,"Kevin Gausman","14107",592332
"Shane McClanahan","TBR",9.0503,7.8811,13.5683,3.5726,24.3,24.3,0,0,,142.175,587.984,128.846,61.4308,56.437,17.8666,41.5952,0.4692,4.1059,153.555,9.72041,2.63308,3.69165,1.131,0.261155,0.0707421,0.1904129832983017,0.237598,1.19881,0.299247,0.749583,0.455726,,3.57304,2.88213,2.72943,217,,,,,,,664,4.676056338028169,646,4.549295774647887,5.26,4.69,4.31,4.01,3.76,3.51,3.27,3.01,2.68,4.57,4.31,4.13,3.99,3.85,3.73,3.6,3.45,3.25,"Shane McClanahan","21483",663556
"Tyler Glasnow","LAD",9.8442,6.8302,12.8963,3.60352,24.3,24.3,0,0,,138.55,574.42,117.406,60.2226,55.4742,16.3489,50.8948,0.3194,3.9468,161.474,10.4891,3.30605,3.1727,1.062,0.281108,0.0886021,0.1925058364868164,0.225963,1.21473,0.295699,0.743253,0.446989,,3.5257,2.87078,2.82338,119.44999694824219,,,,,,,684.6000000000001,4.9251798561151094,644,4.633093525179856,5.27,4.7,4.33,4.04,3.78,3.54,3.3,3.04,2.72,4.52,4.29,4.13,4,3.88,3.77,3.65,3.52,3.34,"Tyler Glasnow","14374",607192
"Kyle Bradish","BAL",9.7082,7.9565,12.9979,3.71489,25.92,25.92,0,0,,145.078,608.802,134.067,65.105,59.883,17.3771,45.3278,0.3683,6.4947,152.59,9.46605,2.81194,3.36637,1.078,0.25064,0.0744541,0.1761860027909279,0.240704,1.23655,0.301515,0.737036,0.452951,,3.6603,2.84968,2.35424,69.9000015258789,,,,,,,668.5,4.610344827586207,657,4.531034482758621,5.41,4.84,4.47,4.17,3.91,3.67,3.43,3.16,2.83,4.7,4.45,4.28,4.14,4.01,3.88,3.75,3.61,3.42,"Kyle Bradish","24586",680694
"Drew Rasmussen","TBR",10.4741,10.4805,14.504,3.92856,30.78,30.78,0,0,,171.003,718.502,170.065,81.1132,74.6441,21.5274,44.7619,0.6071,6.0699,156.365,8.22959,2.35584,3.49327,1.133,0.217627,0.0622989,0.15532802045345306,0.254714,1.25627,0.303276,0.723996,0.46672,,3.83466,2.83741,2.47909,155.8300018310547,,,,,,,711.8000000000002,4.162573099415206,728,4.257309941520468,5.58,5.04,4.69,4.41,4.16,3.92,3.69,3.43,3.1,4.93,4.68,4.51,4.37,4.24,4.12,3.99,3.84,3.65,"Drew Rasmussen","25385",656876
"Freddy Peralta","NYM",10.9023,9.2748,15.1723,3.80105,29.16,29.16,0,0,,168.291,710.689,144.545,76.524,71.0759,22.4762,62.3573,0.4797,7.593,185.041,9.89578,3.33479,2.96744,1.202,0.260369,0.087742,0.17262685298919678,0.225591,1.22943,0.281769,0.743168,0.372251,,3.91925,2.73443,2.56779,57.720001220703125,,,,,,,755.5999999999999,4.497619047619047,714,4.25,5.34,4.83,4.49,4.22,3.99,3.76,3.54,3.29,2.98,4.64,4.44,4.3,4.18,4.07,3.97,3.86,3.73,3.57,"Freddy Peralta","18679",642547
"MacKenzie Gore","TEX",10.3319,9.4547,13.9492,3.82613,29.16,29.16,0,0,,161.264,681.59,141.712,73.8515,68.5575,20.9285,61.1673,0.3476,6.3279,182.035,10.1592,3.41369,2.97602,1.168,0.267074,0.0897421,0.17733197659254074,0.230765,1.25805,0.293782,0.743335,0.389817,,3.82026,2.69656,2.46126,174.69000244140625,,,,,,,726.9000000000001,4.514906832298137,695,4.316770186335404,5.4,4.88,4.53,4.26,4.01,3.78,3.55,3.3,2.98,4.69,4.48,4.33,4.21,4.1,3.99,3.88,3.75,3.58,"MacKenzie Gore","22201",669022
"Spencer Strider","ATL",10.5303,8.6275,14.5582,3.82769,27.54,27.54,0,0,,160.846,674.123,139.474,73.3777,68.4075,21.178,57.771,0.6957,7.1154,187.474,10.4899,3.23253,3.24512,1.185,0.2781,0.085698,0.19240211695432663,0.228933,1.2263,0.295308,0.739084,0.372441,,3.72593,2.6678,2.89525,96.20999908447266,,,,,,,750.7000000000002,4.662732919254659,711,4.416149068322981,5.41,4.87,4.52,4.24,3.99,3.76,3.52,3.27,2.94,4.73,4.49,4.33,4.2,4.08,3.96,3.84,3.7,3.52,"Spencer Strider","27498",675911
"Chase Burns","CIN",8.4188,7.6698,10.7679,3.71734,30.68,22.68,0,0.6505,,131.954,547.71,115.84,58.7896,54.5019,18.0777,41.5154,0.6265,4.1813,149.714,10.2113,2.83159,3.60622,1.233,0.273345,0.0757981,0.19754649698734283,0.230752,1.19251,0.292508,0.746448,0.408855,,3.68588,2.64243,2.62804,102.4800033569336,,,,,,,619.8000000000002,4.695454545454547,592,4.484848484848484,5.64821,4.91363,4.45059,4.10452,3.79815,3.52723,3.25996,2.96693,2.61753,4.77786,4.47968,4.28029,4.1121,3.96271,3.82332,3.67453,3.51514,3.29695,"Chase Burns","35333",695505
"Eury Pérez","MIA",9.0899,9.7349,12.9052,4.00784,27.54,27.54,0,0,,154.035,647.752,134.89,73.1386,68.5944,22.0271,53.7064,0.4703,5.3018,171.256,10.0062,3.13796,3.18874,1.287,0.264385,0.082912,0.18147282302379608,0.229115,1.22437,0.285396,0.731864,0.323521,,3.91979,2.59785,2.48566,84.97000122070312,,,,,,,683,4.435064935064935,649,4.214285714285714,5.66,5.09,4.71,4.41,4.15,3.9,3.65,3.38,3.04,4.99,4.72,4.53,4.38,4.24,4.11,3.97,3.81,3.6,"Eury Perez","27768",691587
"Nick Pivetta","SDP",10.477,10.0659,15.5496,3.97548,29.16,29.16,0,0,,174.053,727.344,155.743,82.0081,76.8829,26.9783,53.9078,0.8626,5.1256,191.424,9.89823,2.78748,3.55096,1.395,0.263183,0.074116,0.18906694650650024,0.233041,1.20452,0.286204,0.742622,0.338031,,3.96803,2.5973,2.46202,97.97000122070312,,,,,,,754.9,4.338505747126437,724,4.160919540229885,5.49,4.98,4.65,4.38,4.14,3.91,3.68,3.43,3.11,4.81,4.6,4.45,4.33,4.22,4.11,4,3.87,3.7,"Nick Pivetta","15454",601713
"Jack Flaherty","DET",9.9414,9.9776,14.0204,3.89933,29.16,29.16,0,0,,163.146,696.908,149.062,76.3121,70.6845,21.3903,57.3144,0.8732,6.8422,176.451,9.73395,3.16176,3.07865,1.18,0.253191,0.082241,0.1709498018026352,0.235578,1.26498,0.29356,0.737201,0.39792,,3.85622,2.58063,2.38762,227.2100067138672,,,,,,,720.5000000000001,4.420245398773007,702,4.306748466257669,5.5,4.97,4.62,4.35,4.1,3.87,3.64,3.39,3.06,4.78,4.57,4.42,4.3,4.19,4.08,3.97,3.84,3.67,"Jack Flaherty","17479",656427
"Yusei Kikuchi","LAA",10.0098,11.3699,15.014,4.10078,30.78,30.78,0,0,,177.726,748.32,165.993,87.004,80.9794,26.0665,62.9299,0.6787,5.4605,181.613,9.19687,3.18676,2.88597,1.32,0.242695,0.0840949,0.15860005468130112,0.244132,1.28806,0.296297,0.737509,0.408163,,4.15248,2.57386,2.44969,560.8599853515625,,,,,,,725.8000000000001,4.0775280898876405,712,4,5.67,5.16,4.82,4.55,4.31,4.08,3.85,3.59,3.27,4.98,4.76,4.62,4.49,4.38,4.28,4.16,4.03,3.86,"Yusei Kikuchi","20633",579328
"Shohei Ohtani","LAD",8.8166,6.0248,10.3884,3.45601,22.68,22.68,0,0,,116.914,479.745,98.1549,48.5949,44.8951,14.7441,36.2606,0.463,4.536,136.333,10.4948,2.79133,3.7598,1.135,0.284177,0.0755831,0.2085939645767212,0.223614,1.1497,0.28975,0.75431,0.411735,,3.48923,2.56011,2.53687,1.2799999713897705,,,,,,,575.5000000000002,4.918803418803421,539,4.6068376068376065,5.18,4.57,4.17,3.86,3.59,3.34,3.09,2.82,2.49,4.39,4.14,3.97,3.83,3.71,3.59,3.46,3.32,3.13,"Shohei Ohtani","19755",660271
"Sandy Alcantara","MIA",10.0695,11.8359,16.2328,4.16612,30.78,30.78,0,0,,186.581,795.656,189.852,93.7146,86.3689,22.2032,56.0285,0.8744,7.7051,158.198,7.63088,2.70261,2.82352,1.071,0.198827,0.070418,0.12840888649225235,0.259388,1.31782,0.303974,0.70842,0.469799,,4.01114,2.50145,2.47031,152.97000122070312,,,,,,,743.1999999999998,3.974331550802138,773,4.133689839572193,5.79,5.28,4.94,4.66,4.42,4.19,3.96,3.7,3.38,5.14,4.91,4.75,4.62,4.5,4.38,4.26,4.12,3.93,"Sandy Alcantara","18684",645261
"Cody Ponce","TOR",9.8861,9.1012,11.7198,3.9414,47.3,24.3,0,0.6494,,161.51,681.689,156.634,76.5689,70.7306,20.422,45.9754,1.1944,6.6185,157.19,8.75926,2.56194,3.419,1.138,0.230589,0.0674434,0.16314520686864853,0.248983,1.25447,0.301699,0.724294,0.441177,,3.80933,2.45871,1.85198,274.5199890136719,,,,,,,703.5999999999999,4.3432098765432094,709,4.3765432098765435,5.8926,5.17725,4.72744,4.37756,4.07766,3.80487,3.52778,3.23354,2.87357,4.9275,4.68035,4.51177,4.36462,4.23604,4.10747,3.97889,3.83174,3.64316,"Cody Ponce","17920",664074
"Emmet Sheehan","LAD",10.2228,8.1538,10.9431,3.93413,44.3,24.3,0,0.7767,,153.594,645.486,134.136,71.8174,67.1397,22.9196,53.6456,0.8611,6.4781,173.199,10.1488,3.14343,3.22858,1.343,0.268324,0.0831088,0.18521486967802048,0.22915,1.22259,0.285724,0.74482,0.35732,,3.99407,2.42524,2.30593,126.44999694824219,,,,,,,678.3000000000003,4.404545454545456,641,4.162337662337662,5.86552,5.13224,4.67234,4.31458,4.00853,3.7277,3.45208,3.15166,2.79384,4.92802,4.65192,4.46322,4.31453,4.16713,4.03843,3.89104,3.73364,3.52625,"Emmet Sheehan","29839",686218
