Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Francisco Espinoza","LAD",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.224657,0.081701,0.23661,0.345299,0.291931,0.346919,0.282549,0.638851,0.122263,3.72131,0.278824,,-0.00115391,0.0933896,-0.0247681,79.6494,-0.00115391,0.014259,-0.025273599312640727,0.01425904966890812,0.00227704,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Francisco Espinoza","sa3024357",821689
"Caleb Bonemer","CHW",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.22292,0.0972678,0.270894,0.359062,0.304547,0.367214,0.296673,0.671761,0.144294,4.69295,0.287501,,0.000185685,0.104857,-0.0133004,88.6538,0.000185685,0.000657342,-0.013187141725211404,0.0006573420250788331,0.00223948,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Caleb Bonemer","sa3067043",815352
"David Leon","CLE",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.208558,0.105943,0.280132,0.378191,0.297017,0.32623,0.279901,0.623247,0.117672,2.52658,0.275719,,-0.00150902,0.0912393,-0.0269184,78.5414,-0.00150902,0.014259,-0.026800543535500765,0.01425904966890812,0.00223828,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"David Leon","sa3016336",699235
"Michael Chavis","CIN",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.239893,0.0567274,0.272435,0.208223,0.289807,0.41626,0.304645,0.706067,0.176367,4.21019,0.297955,,-0.00101745,0.111329,-0.00682839,89.3965,-0.00101745,0.00213886,-0.013584785861894488,0.002138857962563634,0.0022329,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Michael Chavis","17321",656308
"Marco Luciano","NYY",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.210654,0.113666,0.3213,0.35377,0.302455,0.372113,0.29794,0.674567,0.161458,3.36128,0.28501,,-0.00189869,0.105886,-0.0122716,90.9121,-0.00189869,0,-0.012609869707375765,0,0.00223128,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Marco Luciano","25616",682617
"Corey Joyce",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.214354,0.107225,0.264547,0.405313,0.314138,0.316783,0.286558,0.630921,0.102429,4.5073,0.287467,,-0.000201932,0.0966449,-0.0215128,83.6791,-0.000201932,0.00784248,-0.019545593444490805,0.007842478342354298,0.00220659,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Corey Joyce","sa3010596",687144
"Harold Castro",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.251449,0.0471779,0.207177,0.227717,0.289688,0.384054,0.292749,0.673741,0.132605,3.61924,0.29546,,-0.000895533,0.101671,-0.0164869,83.1907,-0.000895533,0.00784248,-0.020707228395622224,0.007842478342354298,0.00220521,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Harold Castro","14691",605612
"Ryan Ignoffo","MIA",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.245623,0.0520017,0.198847,0.261517,0.284046,0.376485,0.286867,0.66053,0.130862,4.55942,0.288478,,0.000542933,0.0968951,-0.0212626,80.7569,0.000542933,0.0104961,-0.022264072904363275,0.010496087372303009,0.00219995,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Ryan Ignoffo","sa3022573",813883
"Buddy Kennedy","SFG",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.235251,0.0936253,0.200774,0.466321,0.317,0.346972,0.296241,0.663971,0.111721,3.32323,0.284633,,-0.00193634,0.104506,-0.0136514,90.9132,-0.00193634,0.000929975,-0.012706085457466543,0.0009299750090576708,0.00219912,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Buddy Kennedy","22505",671083
"Austin Shenton",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.207273,0.0985955,0.317093,0.310936,0.290772,0.362587,0.288422,0.653359,0.155313,1.73609,0.279121,,-0.00164579,0.0981577,-0.02,89.7581,-0.00164579,0.000712953,-0.013717021443881094,0.0007129529840312898,0.00219095,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Austin Shenton","25425",668853
"Deniel Ortiz","STL",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.2245,0.0889544,0.300961,0.295568,0.300977,0.359367,0.292227,0.660344,0.134868,4.91093,0.304464,,0.00168719,0.101247,-0.0169107,87.9178,0.00168719,0.000712953,-0.012632681173272431,0.0007129529840312898,0.00218442,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Deniel Ortiz","sa3066597",811765
"Drew Cavanaugh","SFG",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.207682,0.0945495,0.314815,0.300334,0.296443,0.323067,0.278828,0.61951,0.115385,3.29577,0.29398,,-0.00128231,0.0903688,-0.0277889,78.9849,-0.00128231,0.014259,-0.026189587195403874,0.01425904966890812,0.00218332,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Drew Cavanaugh","sa3022682",701852
"Ethan Salas","SDP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.213744,0.0792212,0.250089,0.316771,0.279731,0.337305,0.272984,0.617036,0.123561,3.83688,0.268501,,-0.000931351,0.0856237,-0.032534,76.3265,-0.000931351,0.0170553,-0.02898932684911415,0.017055250704288483,0.00218296,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Ethan Salas","sa3020881",806956
