"last_name, first_name",pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed,st_avg_speed,sv_avg_speed,year,ff_avg_spin,si_avg_spin,fc_avg_spin,sl_avg_spin,ch_avg_spin,cu_avg_spin,fs_avg_spin,kn_avg_spin,st_avg_spin,sv_avg_spin,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn,n_st,n_sv
"Colon, Bartolo",112526,90.9,87.8,,82.8,82.6,81.5,,,,,2015,2255.0,2110.0,,2178.0,1727.0,1758.0,,,,,29.1,53.5,,9.7,7.4,0.3,,,,
"Colon, Bartolo",112526,90.4,87.6,,82.5,81.4,,,,,,2016,2264.0,2100.0,,2282.0,1683.0,,,,,,25.9,63.5,,6.3,4.3,,,,,
"Colon, Bartolo",112526,90.3,87.1,86.6,81.5,81.3,,,,,,2017,2241.0,2087.0,2300.0,2334.0,1678.0,,,,,,19.7,62.9,0.3,7.3,9.7,,,,,
"Colon, Bartolo",112526,89.3,86.9,85.5,80.5,80.8,,,,,,2018,2280.0,2136.0,2312.0,2388.0,1657.0,,,,,,16.4,62.3,2.8,7.4,11.1,,,,,
"Hawkins, LaTroy",115629,93.7,93.8,,87.7,84.7,78.2,,,,,2015,2052.0,2049.0,,2066.0,1698.0,2240.0,,,,,73.8,1.6,,16.1,8.0,0.5,,,,
"Wolf, Randy",150116,89.3,88.6,,83.7,78.5,69.7,,,,,2015,2103.0,1997.0,,2051.0,1669.0,2335.0,,,,,15.7,33.0,,24.6,11.1,15.7,,,,
"Marquis, Jason",150302,,88.3,,82.6,78.8,,,,,,2015,,1782.0,,1977.0,1239.0,,,,,,,59.4,,19.4,21.2,,,,,
"Burnett, A.J.",150359,91.7,91.5,,,86.3,82.3,,,,,2015,2082.0,1992.0,,,1678.0,2023.0,,,,,11.7,50.1,,,8.8,29.4,,,,
"Hudson, Tim",218596,88.5,88.7,83.0,,,75.8,80.9,,,,2015,2126.0,2025.0,2102.0,,,2260.0,1369.0,,,,7.0,47.3,22.8,,,11.6,11.2,,,
"Grilli, Jason",276351,94.6,94.6,,83.1,86.5,,,,,,2015,2401.0,2196.0,,2192.0,2257.0,,,,,,66.4,1.5,,31.9,0.2,,,,,
"Grilli, Jason",276351,93.0,92.7,,81.1,84.9,,,,,,2016,2362.0,2247.0,,2605.0,2134.0,,,,,,59.4,2.5,,35.7,2.4,,,,,
"Grilli, Jason",276351,92.8,92.1,,81.0,85.8,,,,,,2017,2361.0,2266.0,,2674.0,2094.0,,,,,,60.8,3.0,,33.7,2.5,,,,,
"Arroyo, Bronson",276520,84.4,83.4,84.4,72.9,75.7,71.8,,,,,2017,2017.0,1979.0,2104.0,2302.0,1489.0,2341.0,,,,,23.5,10.5,7.5,20.7,9.7,28.1,,,,
"Benoit, Joaquín",276542,94.8,94.9,,88.0,84.7,,,,,,2015,2280.0,2252.0,,2332.0,1434.0,,,,,,38.0,7.9,,19.7,34.4,,,,,
"Benoit, Joaquín",276542,94.5,95.3,,87.2,84.5,,,,,,2016,2291.0,2188.0,,2422.0,1374.0,,,,,,33.7,20.9,,19.4,26.1,,,,,
"Benoit, Joaquín",276542,94.8,94.7,,87.4,84.5,83.7,,,,,2017,2249.0,2225.0,,2396.0,1421.0,1498.0,,,,,49.1,10.3,,12.5,27.9,0.1,,,,
"Belisle, Matt",279571,91.1,90.8,,85.9,86.4,75.2,,,,,2015,1982.0,1975.0,,1869.0,1838.0,2347.0,,,,,41.4,17.0,,29.5,3.1,9.0,,,,
"Belisle, Matt",279571,91.5,91.2,,86.7,88.1,75.3,,,,,2016,2078.0,2032.0,,2095.0,1728.0,2374.0,,,,,50.9,6.1,,32.1,0.9,10.0,,,,
"Belisle, Matt",279571,90.6,90.3,,85.8,85.0,73.7,,,,,2017,2060.0,2033.0,,2072.0,1514.0,2499.0,,,,,46.0,9.4,,32.6,0.5,11.4,,,,
"Belisle, Matt",279571,90.3,91.4,,85.5,85.2,73.5,,,,,2018,2044.0,1997.0,,2092.0,1364.0,2501.0,,,,,46.1,8.9,,37.0,0.2,7.9,,,,
"Buehrle, Mark",279824,84.5,83.5,79.9,,78.7,71.7,,,,,2015,2076.0,1973.0,1907.0,,1625.0,2137.0,,,,,26.4,24.5,19.5,,21.1,8.6,,,,
"Sabathia, CC",282332,90.8,89.8,90.2,79.6,83.9,,,,,,2015,2114.0,2049.0,1980.0,1823.0,1950.0,,,,,,25.2,38.3,0.0,22.5,14.0,,,,,
"Sabathia, CC",282332,89.0,89.6,,80.4,82.5,,,,,,2016,2192.0,2019.0,,2085.0,1957.0,,,,,,35.7,35.7,,22.9,5.7,,,,,
"Sabathia, CC",282332,89.2,90.7,89.9,79.6,83.8,,,,,,2017,2105.0,2004.0,2155.0,2237.0,1843.0,,,,,,0.3,22.9,30.2,31.1,15.6,,,,,
"Sabathia, CC",282332,90.2,90.1,89.1,80.0,83.4,,,,,,2018,2070.0,2027.0,2221.0,2250.0,1878.0,,,,,,1.0,14.2,43.7,30.9,10.1,,,,,
"Sabathia, CC",282332,88.8,89.1,88.3,79.2,82.7,,,,,,2019,2098.0,2051.0,2194.0,2208.0,1885.0,,,,,,1.3,14.3,42.0,30.2,12.2,,,,,
"Vogelsong, Ryan",285064,91.6,91.6,,88.5,84.0,77.0,,,,,2015,2071.0,2003.0,,1986.0,1759.0,1876.0,,,,,41.2,14.1,,15.5,8.7,20.6,,,,
"Vogelsong, Ryan",285064,90.8,90.2,,87.6,84.2,76.3,,,,,2016,2046.0,1956.0,,2009.0,1793.0,1973.0,,,,,37.2,12.1,,22.2,12.9,15.6,,,,
"Dickey, R.A.",285079,82.3,,,,,,,76.7,,,2015,1810.0,,,,,,,1359.0,,,11.3,,,,,,,88.7,,
"Dickey, R.A.",285079,82.9,,,,,,,76.6,,,2016,1889.0,,,,,,,1592.0,,,13.0,,,,,,,87.0,,
"Dickey, R.A.",285079,83.6,,,,,,,77.3,,,2017,1878.0,,,,,,,1530.0,,,17.3,,,,,,,82.7,,
"Choate, Randy",329092,84.8,84.2,,74.5,,,,,,,2015,1920.0,1794.0,,1962.0,,,,,,,0.7,60.8,,38.4,,,,,,
"Affeldt, Jeremy",346793,,91.0,,,86.7,75.0,,,,,2015,,2004.0,,,1266.0,2482.0,,,,,,67.5,,,8.7,23.8,,,,
"Lohse, Kyle",346798,89.8,89.9,,84.7,79.8,75.3,,,,,2015,2294.0,2137.0,,2115.0,1519.0,2248.0,,,,,0.9,43.9,,27.2,21.0,6.8,,,,
"Beimel, Joe",346847,89.1,85.9,,79.7,81.3,72.1,,,,,2015,2141.0,2060.0,,1824.0,1875.0,1982.0,,,,,35.2,38.0,,12.9,9.9,4.1,,,,
"Lackey, John",407793,92.2,92.2,83.9,,84.3,78.6,,,,,2015,2194.0,2185.0,1694.0,,1956.0,2082.0,,,,,35.9,31.2,20.6,,2.7,9.6,,,,
"Lackey, John",407793,92.4,92.2,84.0,,84.9,78.9,,,,,2016,2270.0,2225.0,2190.0,,1871.0,2329.0,,,,,37.1,20.9,22.9,,5.5,13.6,,,,
"Lackey, John",407793,91.0,90.7,82.5,,83.5,77.5,,,,,2017,2172.0,2131.0,2165.0,,1647.0,2283.0,,,,,39.4,12.9,35.5,,4.6,7.4,,,,
"Thornton, Matt",407819,94.2,94.3,87.7,84.1,,,,,,,2015,2131.0,2140.0,1373.0,1837.0,,,,,,,36.1,35.3,10.3,18.2,,,,,,
"Thornton, Matt",407819,92.1,92.0,86.7,84.1,,,,,,,2016,2081.0,2081.0,1315.0,1824.0,,,,,,,7.5,63.6,22.9,6.1,,,,,,
"De La Rosa, Jorge",407822,92.1,92.0,87.7,86.2,82.9,73.5,82.7,,,,2015,1877.0,1848.0,1886.0,1719.0,1325.0,2517.0,1373.0,,,,29.9,1.3,25.3,1.0,1.5,6.3,34.8,,,
"De La Rosa, Jorge",407822,90.8,90.5,87.0,86.9,82.5,73.9,82.2,,,,2016,1884.0,1899.0,1916.0,1974.0,1398.0,2608.0,1328.0,,,,31.4,1.5,22.5,0.6,1.2,9.7,33.0,,,
"De La Rosa, Jorge",407822,93.5,93.5,87.0,,,75.5,84.4,,,,2017,1901.0,1940.0,2030.0,,,2650.0,1400.0,,,,47.6,0.4,12.4,,,5.3,34.4,,,
"De La Rosa, Jorge",407822,92.3,,85.9,,,75.2,83.6,,,,2018,2092.0,,2046.0,,,2650.0,1429.0,,,,43.3,,12.1,,,4.3,40.3,,,
"Rodney, Fernando",407845,95.6,95.3,,,83.2,,,,,,2015,2170.0,2083.0,,,1919.0,,,,,,10.6,50.9,,,38.6,,,,,
"Rodney, Fernando",407845,95.8,95.0,,,83.3,,,,,,2016,2150.0,2002.0,,,1818.0,,,,,,9.2,48.4,,,42.4,,,,,
"Rodney, Fernando",407845,94.9,94.1,,85.3,83.5,,,,,,2017,2109.0,2042.0,,2269.0,1787.0,,,,,,26.9,32.5,,1.5,39.1,,,,,
"Rodney, Fernando",407845,94.7,93.8,,86.5,82.8,,,,,,2018,2154.0,2026.0,,2182.0,1735.0,,,,,,22.7,47.8,,0.3,29.2,,,,,
"Rodney, Fernando",407845,94.4,93.6,,86.3,83.0,,,,,,2019,2192.0,2039.0,,2254.0,1752.0,,,,,,20.6,47.4,,3.3,28.8,,,,,
"Lewis, Colby",407890,88.6,88.1,,83.1,83.8,77.3,,,,,2015,2286.0,2133.0,,2082.0,1961.0,2064.0,,,,,45.7,4.5,,35.0,6.8,8.1,,,,
"Lewis, Colby",407890,87.9,87.6,,82.7,82.6,76.7,,,,,2016,2276.0,2055.0,,2343.0,1614.0,2177.0,,,,,50.6,2.5,,31.9,7.3,7.7,,,,
"Peralta, Joel",407908,90.1,,,,,77.1,81.5,,,,2015,2396.0,,,,,2347.0,1232.0,,,,49.8,,,,,19.7,30.5,,,
"Peralta, Joel",407908,90.4,,,,,78.4,81.3,,,,2016,2411.0,,,,,2569.0,1226.0,,,,52.9,,,,,17.2,29.9,,,
"Rodríguez, Francisco",408061,90.3,89.9,,,83.5,75.6,,,,,2015,2109.0,1949.0,,,1630.0,2272.0,,,,,25.4,19.8,,,42.6,12.2,,,,
"Rodríguez, Francisco",408061,89.9,89.7,,,84.0,76.5,,,,,2016,2121.0,2004.0,,,1736.0,2753.0,,,,,29.2,18.0,,,41.5,11.2,,,,
"Rodríguez, Francisco",408061,89.0,89.6,,,83.3,74.9,,,,,2017,2070.0,2055.0,,,1745.0,2648.0,,,,,55.2,0.5,,,35.5,8.8,,,,
"Peavy, Jake",408241,90.6,90.8,86.4,84.4,83.1,80.7,,,,,2015,2475.0,2465.0,2512.0,2377.0,1789.0,2137.0,,,,,25.8,23.1,30.8,3.5,6.7,10.2,,,,
"Peavy, Jake",408241,89.5,89.3,85.7,81.8,83.4,79.3,,,,,2016,2447.0,2433.0,2570.0,2469.0,1832.0,2573.0,,,,,27.1,17.4,33.4,0.7,6.8,14.6,,,,
"Harang, Aaron",421685,89.6,89.9,,81.7,84.1,74.2,,,,,2015,2349.0,2251.0,,2009.0,1640.0,1990.0,,,,,35.1,32.8,,17.2,10.2,4.7,,,,
"Pérez, Oliver",424144,92.6,92.0,,79.8,84.1,,,,,,2015,2250.0,2123.0,,1858.0,1845.0,,,,,,39.1,18.1,,42.7,0.1,,,,,
"Pérez, Oliver",424144,92.5,91.8,,79.5,,,,,,,2016,2187.0,2102.0,,2133.0,,,,,,,36.1,21.3,,42.7,,,,,,
"Pérez, Oliver",424144,92.9,92.5,,79.6,,,,,,,2017,2179.0,2099.0,,2110.0,,,,,,,31.3,26.0,,42.7,,,,,,
"Pérez, Oliver",424144,91.2,91.8,,78.8,,,,,,,2018,2156.0,2150.0,,2308.0,,,,,,,12.6,38.3,,49.0,,,,,,
"Pérez, Oliver",424144,91.5,91.8,,78.5,,,,,,,2019,2192.0,2161.0,,2279.0,,,,,,,14.7,36.0,,49.2,,,,,,
"Pérez, Oliver",424144,89.5,90.0,,76.1,,,,,,,2020,2152.0,2102.0,,2195.0,,,,,,,13.9,43.1,,43.1,,,,,,
"Guthrie, Jeremy",425386,92.6,92.1,89.7,86.3,85.6,77.9,,,,,2015,2191.0,2079.0,2203.0,2134.0,1590.0,2052.0,,,,,28.9,17.6,15.1,5.4,16.4,16.6,,,,
"Wang, Chien-Ming",425426,91.7,92.2,,84.9,,77.4,80.7,,,,2016,1919.0,1864.0,,1990.0,,2285.0,1696.0,,,,10.1,74.1,,10.2,,1.1,4.6,,,
"Madson, Ryan",425492,94.8,95.3,90.4,,83.8,,,,,,2015,2175.0,1993.0,2061.0,,2054.0,,,,,,49.8,0.7,19.9,,29.6,,,,,
"Madson, Ryan",425492,94.9,94.6,91.2,,83.9,,,,,,2016,2155.0,2046.0,2140.0,,2028.0,,,,,,57.6,7.2,8.3,,27.0,,,,,
"Madson, Ryan",425492,95.7,94.7,,92.2,85.4,82.6,,,,,2017,2254.0,2119.0,,2220.0,1895.0,2430.0,,,,,31.7,34.2,,0.1,15.4,18.6,,,,
"Madson, Ryan",425492,95.9,95.5,93.5,,84.8,83.0,,,,,2018,2251.0,2076.0,2211.0,,1935.0,2291.0,,,,,40.8,21.5,3.2,,21.8,12.6,,,,
"Williams, Jerome",425532,90.8,90.4,87.8,79.8,83.9,73.7,,,,,2015,2147.0,2041.0,2072.0,2049.0,1644.0,2183.0,,,,,16.9,33.9,25.5,3.8,17.5,2.4,,,,
"Williams, Jerome",425532,90.4,90.3,87.1,80.3,84.4,72.4,,,,,2016,2163.0,2017.0,2183.0,2349.0,1647.0,2445.0,,,,,12.8,36.0,29.8,2.8,18.0,0.7,,,,
"Capuano, Chris",425626,,89.2,,82.0,78.4,75.1,,,,,2015,,2416.0,,2207.0,1556.0,2177.0,,,,,,43.5,,26.5,24.5,5.5,,,,
"Capuano, Chris",425626,,89.1,,82.8,78.1,75.1,,,,,2016,,2433.0,,2414.0,1553.0,2662.0,,,,,,48.8,,27.4,21.6,2.1,,,,
"López, Javier",425657,,85.1,,78.4,79.5,71.8,,,,,2015,,2136.0,,1760.0,2062.0,2018.0,,,,,,72.6,,19.5,3.8,4.1,,,,
"López, Javier",425657,,84.8,,78.0,79.7,71.9,,,,,2016,,2124.0,,2001.0,2054.0,2163.0,,,,,,69.2,,21.1,5.2,4.5,,,,
"Atchison, Scott",425786,90.7,,,85.8,,78.5,,,,,2015,2234.0,,,2214.0,,2798.0,,,,,33.7,,,56.2,,10.1,,,,
"Wainwright, Adam",425794,90.6,90.3,86.5,,83.1,74.8,,,,,2015,2184.0,2158.0,2272.0,,1820.0,2591.0,,,,,15.7,22.5,33.7,,1.6,26.6,,,,
"Wainwright, Adam",425794,90.8,91.1,85.9,,83.3,74.4,,,,,2016,2192.0,2153.0,2348.0,,1583.0,2657.0,,,,,13.1,27.6,30.0,,2.6,26.8,,,,
"Wainwright, Adam",425794,90.1,89.7,84.2,,81.4,72.5,,,,,2017,2200.0,2174.0,2377.0,,1788.0,2643.0,,,,,19.3,26.8,23.6,,4.1,26.2,,,,
"Wainwright, Adam",425794,89.5,89.5,83.9,,81.0,73.6,,,,,2018,2167.0,2151.0,2326.0,,1805.0,2707.0,,,,,9.7,27.1,21.3,,5.8,36.2,,,,
"Wainwright, Adam",425794,89.6,90.0,84.9,,83.9,74.9,,,,,2019,2191.0,2171.0,2341.0,,1769.0,2752.0,,,,,13.6,25.1,22.4,,2.0,36.8,,,,
"Wainwright, Adam",425794,89.2,89.3,85.0,,81.8,73.5,,,,,2020,2218.0,2188.0,2343.0,,1683.0,2791.0,,,,,9.2,27.1,22.9,,2.5,38.3,,,,
"Wainwright, Adam",425794,89.0,89.1,84.9,,82.7,73.4,,,,,2021,2231.0,2229.0,2409.0,,1714.0,2835.0,,,,,9.7,28.1,21.7,,6.4,34.1,,,,
"Wainwright, Adam",425794,88.0,88.6,84.3,75.3,82.2,72.8,,,,,2022,2235.0,2200.0,2411.0,2682.0,1764.0,2768.0,,,,,9.3,27.9,25.0,0.1,6.0,31.7,,,,
"Wainwright, Adam",425794,85.7,86.9,82.9,75.6,81.4,71.5,,,,,2023,2159.0,2167.0,2322.0,2458.0,1655.0,2647.0,,,,,10.0,31.4,22.6,0.3,5.0,30.8,,,,
"Cotts, Neal",425840,90.6,90.7,,86.4,87.3,,,,,,2015,2275.0,2147.0,,2013.0,2265.0,,,,,,40.2,7.3,,51.9,0.6,,,,,
"Greinke, Zack",425844,92.4,91.8,,87.4,88.7,74.2,,,,,2015,2406.0,2192.0,,2330.0,1741.0,2436.0,,,,,43.7,9.9,,19.2,18.2,9.0,,,,
"Greinke, Zack",425844,91.9,91.4,,85.9,88.1,74.9,,,,,2016,2395.0,2159.0,,2402.0,1726.0,2523.0,,,,,40.9,10.1,,20.7,17.8,10.4,,,,
"Greinke, Zack",425844,90.8,90.7,,84.0,87.1,74.3,,,,,2017,2392.0,2340.0,,2595.0,1821.0,2593.0,,,,,39.2,9.1,,22.7,16.1,13.0,,,,
"Greinke, Zack",425844,89.5,90.0,,83.4,86.5,71.2,,,,,2018,2335.0,2278.0,,2540.0,1738.0,2476.0,,,,,44.2,5.9,,17.7,21.0,11.2,,,,
"Greinke, Zack",425844,89.9,90.4,89.4,83.7,87.4,70.6,80.1,,,,2019,2326.0,2253.0,2409.0,2517.0,1780.0,2446.0,1703.0,,,,41.2,5.3,0.1,16.2,22.1,14.8,0.2,,,
"Greinke, Zack",425844,88.1,89.7,,84.5,86.2,70.4,,,,,2020,2327.0,2259.0,,2422.0,1668.0,2422.0,,,,,43.2,0.1,,17.0,23.2,16.6,,,,
"Greinke, Zack",425844,88.9,89.5,85.2,83.6,86.4,71.1,,,,,2021,2234.0,2156.0,2097.0,2357.0,1594.0,2358.0,,,,,40.0,5.7,0.1,15.2,22.3,16.7,,,,
"Greinke, Zack",425844,89.2,89.5,85.8,81.8,86.5,72.0,,,,,2022,2286.0,2197.0,2371.0,2448.0,1644.0,2433.0,,,,,38.2,2.4,15.3,7.4,16.5,20.3,,,,
"Greinke, Zack",425844,89.5,89.8,85.2,79.2,86.5,72.4,,,,,2023,2248.0,2205.0,2437.0,2464.0,1755.0,2408.0,,,,,26.7,15.6,7.0,20.0,16.5,14.1,,,,
"Floyd, Gavin",425856,93.1,93.9,87.6,,87.1,81.6,,,,,2016,2195.0,2140.0,2102.0,,1935.0,2414.0,,,,,38.6,15.6,10.1,,1.7,34.0,,,,
"Loewen, Adam",429400,92.1,92.1,,,85.3,83.1,,,,,2015,2401.0,2176.0,,,1460.0,2023.0,,,,,42.2,19.0,,,8.5,30.3,,,,
"Haren, Dan",429717,86.6,85.9,83.9,,,76.8,81.7,,,,2015,2160.0,1962.0,2219.0,,,2212.0,1383.0,,,,30.1,11.2,41.0,,,14.2,3.5,,,
"Jackson, Edwin",429719,94.1,92.4,,87.8,87.8,79.4,,,,,2015,2281.0,2183.0,,1999.0,2271.0,2101.0,,,,,59.3,4.7,,27.9,2.8,5.4,,,,
"Jackson, Edwin",429719,92.1,91.8,,86.6,87.5,78.6,,,,,2016,2259.0,2069.0,,2194.0,2135.0,2368.0,,,,,57.0,0.6,,32.2,1.6,8.5,,,,
"Jackson, Edwin",429719,93.1,93.2,,86.9,87.5,78.9,,,,,2017,2265.0,2186.0,,2274.0,2127.0,2431.0,,,,,37.9,22.6,,25.4,6.3,7.8,,,,
"Jackson, Edwin",429719,93.3,92.9,91.2,86.2,87.2,78.7,,,,,2018,2265.0,2096.0,2300.0,2282.0,2108.0,2514.0,,,,,18.8,14.5,33.7,21.1,8.1,3.7,,,,
"Jackson, Edwin",429719,93.5,93.7,91.6,85.7,87.0,77.9,,,,,2019,2270.0,2112.0,2339.0,2299.0,2221.0,2518.0,,,,,23.3,13.9,27.4,25.2,7.5,2.7,,,,
"Santana, Ervin",429722,93.1,88.9,,84.6,85.6,,,,,,2015,2272.0,1792.0,,1928.0,1523.0,,,,,,51.2,1.8,,36.8,10.2,,,,,
"Santana, Ervin",429722,93.4,91.2,,84.1,85.6,,,,,,2016,2250.0,2021.0,,2081.0,1456.0,,,,,,51.1,1.7,,39.5,7.7,,,,,
"Santana, Ervin",429722,93.2,92.3,,84.5,85.8,,,,,,2017,2232.0,2136.0,,2372.0,1516.0,,,,,,33.0,19.9,,36.9,10.2,,,,,
"Santana, Ervin",429722,89.2,88.5,,81.4,82.8,,,,,,2018,2092.0,2044.0,,2248.0,1589.0,,,,,,30.1,18.0,,31.5,20.3,,,,,
"Santana, Ervin",429722,90.0,90.1,,82.2,83.4,,,,,,2019,2070.0,2024.0,,2307.0,1518.0,,,,,,41.2,10.4,,42.4,6.0,,,,,
"Santana, Ervin",429722,93.4,,,84.4,87.2,,,,,,2021,2178.0,,,2319.0,1681.0,,,,,,45.1,,,51.6,3.3,,,,,
"Narveson, Chris",429780,89.6,89.9,84.9,,83.8,75.1,,,,,2015,2285.0,2225.0,2104.0,,2021.0,2782.0,,,,,25.7,17.7,21.1,,23.5,12.0,,,,
"Correia, Kevin",429781,88.9,88.5,89.0,86.8,84.2,76.4,,,,,2015,2320.0,2346.0,2458.0,2449.0,1583.0,2240.0,,,,,19.7,17.3,6.2,24.7,17.8,14.3,,,,
"Betancourt, Rafael",429783,91.4,,90.6,79.3,84.8,,,,,,2015,2563.0,,2526.0,2219.0,1705.0,,,,,,62.9,,7.7,17.4,12.0,,,,,
"Simon, Alfredo",430580,93.5,93.5,88.9,83.9,86.1,77.3,85.2,,,,2015,2252.0,2045.0,2111.0,1524.0,1512.0,2171.0,1567.0,,,,16.7,29.4,10.3,0.0,0.6,8.9,34.1,,,
"Simon, Alfredo",430580,93.1,93.1,89.3,,,77.2,85.3,,,,2016,2235.0,2059.0,2152.0,,,2386.0,1693.0,,,,15.9,31.6,19.8,,,11.3,21.3,,,
"Qualls, Chad",430589,,92.0,,86.6,83.0,,,,,,2015,,1981.0,,2313.0,1507.0,,,,,,,57.2,,42.1,0.7,,,,,
"Qualls, Chad",430589,,90.8,,84.8,83.2,,,,,,2016,,2034.0,,2355.0,1557.0,,,,,,,58.3,,39.8,1.9,,,,,
"Qualls, Chad",430589,91.3,91.1,,85.1,,,,,,,2017,2016.0,1979.0,,2399.0,,,,,,,0.8,70.2,,29.0,,,,,,
"Blanton, Joe",430599,91.2,91.5,,84.8,86.0,78.7,,,,,2015,2172.0,2052.0,,1836.0,1884.0,2422.0,,,,,27.2,21.4,,31.4,15.5,4.5,,,,
"Blanton, Joe",430599,91.6,91.9,,86.7,86.6,80.5,,,,,2016,2198.0,2164.0,,2366.0,1798.0,2495.0,,,,,18.6,11.8,,43.5,11.4,14.7,,,,
"Blanton, Joe",430599,90.2,90.4,,86.1,85.4,79.4,,,,,2017,2151.0,2176.0,,2352.0,1806.0,2480.0,,,,,28.2,10.3,,34.1,15.4,11.9,,,,
"Frasor, Jason",430630,92.6,89.5,,84.1,87.0,,,,,,2015,2209.0,,,1763.0,1387.0,,,,,,61.6,0.2,,19.4,18.8,,,,,
"Boyer, Blaine",430641,93.0,93.6,,86.2,87.0,74.8,,,,,2015,2284.0,2244.0,,2326.0,1840.0,2412.0,,,,,35.7,28.9,,25.1,0.7,9.6,,,,
"Boyer, Blaine",430641,92.5,92.7,,87.2,88.4,75.1,,,,,2016,2358.0,2257.0,,2453.0,2356.0,2432.0,,,,,20.7,38.9,,29.8,0.7,9.9,,,,
"Boyer, Blaine",430641,94.2,94.1,,86.4,,73.4,,,,,2017,2361.0,2339.0,,2432.0,,2400.0,,,,,37.3,18.2,,36.8,,7.7,,,,
"Boyer, Blaine",430641,92.5,92.7,,87.3,85.0,76.3,,,,,2018,2317.0,2303.0,,2491.0,1595.0,2464.0,,,,,31.3,18.4,,41.0,0.2,9.0,,,,
"McGowan, Dustin",430661,94.4,93.3,,87.9,86.7,82.1,,,,,2015,2334.0,2170.0,,2206.0,1827.0,2006.0,,,,,51.8,16.0,,23.9,8.1,0.2,,,,
"McGowan, Dustin",430661,95.5,95.4,,87.5,88.7,,,,,,2016,2350.0,2145.0,,2277.0,1830.0,,,,,,34.1,29.8,,30.6,5.5,,,,,
"McGowan, Dustin",430661,93.8,93.8,,86.7,87.8,,,,,,2017,2221.0,2153.0,,2304.0,1823.0,,,,,,31.6,27.8,,33.6,7.0,,,,,
"Aardsma, David",430911,92.1,,,81.6,,,84.3,,,,2015,2260.0,,,1936.0,,,1383.0,,,,67.8,,,26.1,,,6.1,,,
"Cain, Matt",430912,91.6,91.0,,86.0,85.6,77.3,,,,,2015,2404.0,2403.0,,2473.0,1836.0,2556.0,,,,,39.1,11.2,,21.7,17.4,10.6,,,,
"Cain, Matt",430912,91.0,90.8,,85.5,85.1,77.1,,,,,2016,2457.0,2486.0,,2724.0,1662.0,2784.0,,,,,45.8,3.7,,25.1,11.6,13.8,,,,
"Cain, Matt",430912,89.3,89.0,,83.1,83.0,74.5,,,,,2017,2402.0,2369.0,,2433.0,1590.0,2657.0,,,,,35.3,19.9,,10.7,10.9,23.1,,,,
"Hamels, Cole",430935,92.9,93.2,89.1,,84.9,78.8,,,,,2015,2100.0,2102.0,1998.0,,1722.0,2235.0,,,,,31.4,21.2,11.8,,23.5,12.1,,,,
"Hamels, Cole",430935,92.6,93.2,89.2,,84.7,79.8,,,,,2016,2083.0,2090.0,2025.0,,1623.0,2141.0,,,,,26.8,23.8,16.5,,18.3,14.6,,,,
"Hamels, Cole",430935,92.1,91.9,88.8,,83.1,79.0,,,,,2017,2033.0,2059.0,1965.0,,1605.0,2139.0,,,,,24.1,23.3,19.0,,20.7,12.9,,,,
"Hamels, Cole",430935,92.4,91.4,87.5,85.0,83.4,78.8,,,,,2018,2083.0,2076.0,2045.0,2115.0,1652.0,2197.0,,,,,30.3,14.7,18.2,4.9,18.8,13.1,,,,
"Hamels, Cole",430935,91.4,91.1,87.6,,83.3,78.0,,,,,2019,2059.0,2034.0,1994.0,,1713.0,2040.0,,,,,35.5,12.1,18.6,,21.3,12.5,,,,
"Kazmir, Scott",431148,92.5,91.8,87.2,81.5,76.4,76.8,,,,,2015,2224.0,2203.0,2114.0,1917.0,1388.0,1782.0,,,,,2.4,55.9,12.2,7.2,18.0,4.3,,,,
"Kazmir, Scott",431148,91.7,92.0,87.5,81.0,77.2,77.0,,,,,2016,2214.0,2201.0,2078.0,1966.0,1440.0,1960.0,,,,,6.6,49.0,9.8,9.9,18.7,6.0,,,,
"Stauffer, Tim",431162,90.4,89.2,,84.4,79.7,73.0,,,,,2015,2157.0,1992.0,,1967.0,954.0,2369.0,,,,,10.3,52.4,,15.3,15.5,6.6,,,,
"Young, Chris",432934,87.1,,,80.8,80.6,,,,,,2015,2378.0,,,2201.0,2073.0,,,,,,58.0,,,38.7,3.3,,,,,
"Young, Chris",432934,88.3,,,82.6,82.0,,,,,,2016,2417.0,,,2346.0,2282.0,,,,,,48.1,,,49.9,2.0,,,,,
"Young, Chris",432934,86.9,,,82.0,82.8,,,,,,2017,2349.0,,,2276.0,2281.0,,,,,,42.7,,,56.5,0.7,,,,,
"Danks, John",433579,90.0,90.0,86.5,80.3,81.5,76.2,,,,,2015,2358.0,2269.0,2368.0,2079.0,1786.0,1774.0,,,,,34.3,10.4,13.7,0.3,29.1,12.2,,,,
"Danks, John",433579,87.7,88.1,84.5,,81.4,74.7,,,,,2016,2351.0,2276.0,2407.0,,1814.0,2028.0,,,,,29.7,15.5,17.3,,27.4,10.1,,,,
"Hernandez, Roberto",433584,89.3,89.6,,84.6,83.0,,,,,,2015,1914.0,1908.0,,1964.0,1810.0,,,,,,31.5,24.6,,14.8,29.1,,,,,
"Francis, Jeff",433585,86.4,86.6,,79.2,79.0,70.0,,,,,2015,2067.0,1942.0,,1783.0,1279.0,2184.0,,,,,2.3,44.8,,15.0,16.5,21.5,,,,
